Collector,Gross area [m^2],Absorber area [m^2],min. Flowrate [l/h],nom. flowrate [l/h],max. Flowrate [l/h],c0 (gross),c1 (gross),c2 (gross),Cost,Cost per gross area,Cost Year,Cost Ref.,Datasheet,,,,,,IAM transversal,0,10,20,30,40,50,60,70,80,90,,IAM longitudinal,0,10,20,30,40,50,60,70,80,90
NMT VHP,2.267,1.21,18,30,50,0.398,1.26,0.0014,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1824en.pdf,,,,,,,1,1,1.05,1.15,1.3,1.47,1.42,1.1,0.6,0,,,1,1,1,0.99,0.98,0.96,0.91,0.8,0.55,0
FK Solinas 3 plus kurz,1.109,0.516,18,30,50,0.34,1.47,0.0038,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1765en.pdf,,,,,,,1,1,1.06,1.17,1.29,1.4,1.39,1.1,0.6,0,,,1,1,1,0.99,0.97,0.92,0.83,0.69,0.42,0
FK Solinas 3 plus,2.267,1.21,18,30,50,0.394,1.43,0.0005,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1745en.pdf,,,,,,,1,1,1.04,1.16,1.29,1.42,1.39,1.09,0.6,0,,,1,1,1,1,0.99,0.96,0.9,0.7,0.53,0
FK Solinas 3,2.267,1.21,18,30,50,0.398,1.29,0.0014,655€ including tax,288.9280988,2016,https://www.sunwindenergy.com/system/files/swe_0516_014-021_solar_thermal_market_overview_collectors.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1744en.pdf,,,,,,,1,1.01,1.05,1.15,1.31,1.47,1.42,1.1,0.6,0,,,1,1,1,1,0.98,0.96,0.91,0.8,0.57,0
Enersol HP 70-24/Wikosun HP 70-24/Zewotherm ZX 70-24/Sunstar 2470/Germanstar HP 70/24,4.147,3.018,100,200,300,0.608,1.14,0.0012,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1729en.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1708en.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1701en.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1691en.pdf,,,,1,1,1.02,1.05,1.04,1,0.91,0.69,0.39,0,,,1,1,1,0.99,0.97,0.93,0.86,0.71,0.46,0
Enersol HP 70-8/Wikosun HP 70-8/Zewotherm ZX 70-8/Sunstar 0870/Germanstar HP 70/8,1.405,1.006,100,200,300,0.6,1.17,0.004,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1728en.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1707en.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1700en.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1690en.pdf,,,,1,1.01,1.03,1.04,1.03,1,0.96,0.83,0.5,0,,,1,1,1,0.99,0.98,0.93,0.87,0.72,0.47,0
AS 100 HP8,2.034,1.332,75,125,175,0.534,0.84,0.0039,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1684en.pdf,,,,,,,1,1,1.01,1.03,1.06,1.05,0.97,0.8,0.44,0,,,1,1,1,1,0.98,0.94,0.88,0.73,0.47,0
HV12,2.172,2.019,6,72,720,0.541,0.93,0.0033,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1678en.pdf,,,,,,,1,1,1.01,1.03,1.06,1.09,1.09,0.9,0.5,0,,,1,1,1,0.98,0.96,0.9,0.81,0.66,0.4,0
Eurosun DF120-6,2.369,1.601,100,120,200,0.572,0.75,0.0041,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1655en.pdf,,,,,,,1,1,1.03,1.08,1.1,1.07,1,0.81,0.47,0,,,1,1,1,0.99,0.97,0.93,0.84,0.72,0.47,0
Zewotherm ZX 30,4.322,2.481,90,240,400,0.414,0.51,0.0114,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1647en.pdf,,,,,,,1,1.01,1.07,1.15,1.27,1.31,1.17,0.85,0.46,0,,,1,1,1,0.98,0.97,0.91,0.82,0.67,0.42,0
