Collector,Gross area [m^2],Absorber area [m^2],min. Flowrate [l/h],nom. flowrate [l/h],max. Flowrate [l/h],c0 (gross),c1 (gross),c2 (gross),Cost,Cost per gross area,Cost Year,Cost Ref.,Datasheet,,,,,,IAM transversal,0,10,20,30,40,50,60,70,80,90,,IAM longitudinal,0,10,20,30,40,50,60,70,80,90
FK basic,2.106,1.885,15,50,180,0.694,3.53,0.0047,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1794en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia RUN 2.55 BLUE S/C&G Energy KLB 2.5/Regulus KPS11,2.516,2.278,60,125,250,0.716,4.05,0.0062,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1773en.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1734en.pdf,https://serv.spf.ch/spftesting/collectors/pdfs/scf1732en.pdf,,,,,1,1,1,0.99,0.97,0.91,0.8,0.63,0.39,0,,,1,1,1,0.99,0.97,0.91,0.8,0.63,0.39,0
Gaia RUN 2.15 BLUE S,2.11,1.887,50,100,200,0.702,3.93,0.0066,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1772en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hewalex KS 3200F,3.215,3.03,70,120,220,0.793,3.91,0.0048,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1762en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermital TSOL 25/4 FLEX,2.301,2.14,46,70,1600,0.75,4,0.006,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1748en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermital TSOL 25/2 PREMIUM,2.301,2.141,30,70,1000,0.768,4.12,0.0056,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1747en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unical TITANIUM XL,2.575,2.325,100,130,185,0.702,3.77,0.0025,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1742en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unical TITANIUM,1.998,1.775,75,100,150,0.719,3.57,0.0065,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1741en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&G Energy KLB 2.0,2.11,1.887,50,100,200,0.702,3.93,0.0066,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1733en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunerg H1TX+,2.575,2.325,100,130,185,0.702,3.77,0.0025,,,,,https://serv.spf.ch/spftesting/collectors/pdfs/scf1725en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20 (Wagner  & Co),2.61,2.39,/,/,/,0.778,3.09,0.0095,€4254 for two of them (manufacturer price) ,814.9425287,2012,http://secusol-install.wagner-solar.com/SECUSOL-price-list-08-12.pdf,https://www.yumpu.com/en/document/read/6216225/euro-solar-collector-type-c20-c22-wagner-co-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TopSon F3-1 (Wolf, Germany T)",2.3,2,/,/,/,0.699,2.81,0.0102,€755 including tax,328.2608696,2016,https://www.sunwindenergy.com/system/files/swe_0516_014-021_solar_thermal_market_overview_collectors.pdf,http://www.wolf.lt/uploads/Turinys/Solar%20systems/Solar%20collectors/3062165_201508_F3-1_F3-Q_Montageanleitung.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thüsol S, individuell (ThüSolar, Germany)",/,/,/,/,/,/,/,/,€675 including tax,,2016,https://www.sunwindenergy.com/system/files/swe_0516_014-021_solar_thermal_market_overview_collectors.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T25PS (Termicol, Spain)",2.5,2.4,/,/,/,0.728,5.32,0.0211,€565 (retail price),226,2016,https://www.moosa-daly.com/iamadmin/uploads/3218870.pdf,https://www.moosa-daly.com/iamadmin/uploads/3218870.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T8S (Termicol, Spain)",2.1,1.9,/,/,/,0.727,3.31,0.0136,€635 (retail price),302.3809524,2016,https://www.moosa-daly.com/iamadmin/uploads/3218870.pdf,https://www.moosa-daly.com/iamadmin/uploads/3218870.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T10S (Termicol, Spain)",2.6,2.4,/,/,/,0.755,3.78,0.0009,€745 (retail price),286.5384615,2016,https://www.moosa-daly.com/iamadmin/uploads/3218870.pdf,https://www.moosa-daly.com/iamadmin/uploads/3218870.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
