,Ambient temperature / degC,Battery storage profile / kWh,Collector system input temperature / degC,Collector system output temperature / degC,Dumped electricity / kWh,Electricity demand / kWh,Electricity demand met through the grid / kWh,Electricity demand met through solar collectors / kWh,Electricity demand met through storage / kWh,Hot-water demand temperature / degC,Hot-water demand volume / kg/s,PV-T collector output temperature / degC,Renewable heating fraction,Solar-thermal collector output temperature / degC,Tank temperature / degC,Undegraded PV electric efficiencies,Degraded PV electric efficiencies,Undegraded PV electric output power / kW,Degraded PV electric output power / kW,Undegraded Total PV electric power produced / kW,Degraded Total PV electric power produced / kW,Undegraded PV-T electric efficiencies,Degraded PV-T electric efficiencies,Undegraded PV-T electric output power / kW,Degraded PV-T electric output power / kW,Undegraded Total PV-T electric power produced / kW,Degraded Total PV-T electric power produced / kW,PV-T output temperature / degC,PV-T reduced temperature / degC/W/m^2,PV-T thermal efficiency,Solar-thermal output temperature / degC,Solar-thermal reduced temperature / degC/W/m^2,Solar-thermal thermal efficiency,Solar irradiance / W/m^2
-1,,8.939578623223756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27.079999999999984,8.939578623223756,27.678076982540574,27.477904616644935,0.0,30.0,30.0,0.0,0.0,,0.0,27.505179721253057,,27.477904616644935,27.678076982540574,0.1676514816,0.14646836942264851,,,0.0,0.0,,,0.0,0.0,0.0,0.0,27.505179721253057,,,27.477904616644935,,,0.0
1,26.439999999999998,8.939578623223756,27.145771909362566,26.954440068049166,0.0,30.0,30.0,0.0,0.0,,0.0,26.98971462702906,,26.954440068049166,27.145771909362566,0.16812794879999998,0.1468846340043948,,,0.0,0.0,,,0.0,0.0,0.0,0.0,26.98971462702906,,,26.954440068049166,,,0.0
2,25.79000000000002,8.939578623223756,26.562859584496834,26.353336970657267,0.0,30.0,30.0,0.0,0.0,,0.0,26.391969533656038,,26.353336970657267,26.562859584496834,0.16861186079999999,0.1473074027202309,,,0.0,0.0,,,0.0,0.0,0.0,0.0,26.391969533656038,,,26.353336970657267,,,0.0
3,25.69999999999999,8.939578623223756,26.152509378285345,26.001060958499806,0.0,30.0,30.0,0.0,0.0,,0.0,26.02169223250297,,26.001060958499806,26.152509378285345,0.16867886399999998,0.14736593992703897,,,0.0,0.0,,,0.0,0.0,0.0,0.0,26.02169223250297,,,26.001060958499806,,,0.0
4,25.480000000000018,8.939578623223756,25.832686351735674,25.71464911183267,0.0,30.0,30.0,0.0,0.0,,0.0,25.730726336006285,,25.71464911183267,25.832686351735674,0.16884264959999998,0.14750903087701428,,,0.0,0.0,,,0.0,0.0,0.0,0.0,25.730726336006285,,,25.71464911183267,,,0.0
5,25.25,8.939578623223756,25.506583777987032,25.381782160858847,0.0,30.0,30.0,0.0,0.0,,0.0,25.390808791740426,,25.381782160858847,25.506583777987032,0.16901387999999998,0.14765862596107934,,,0.0,0.0,,,0.0,0.0,0.0,0.0,25.390808791740426,,,25.381782160858847,,,0.0
6,25.019999999999982,16.561918170011456,29.38025951338409,31.182484958409248,670.1042808889898,30.0,0.0,30.0,0.0,,0.0,30.31121086730235,,31.182484958409248,29.38025951338409,0.1691851104,0.14780822104514446,0.025745984154000003,0.02249292569459599,772.3795246200001,674.7877708378796,0.17492553361219398,0.15282332988678307,0.032204478647406755,0.028135376022779914,38.16230719717701,33.3404205869942,30.31121086730235,0.05102911898359346,0.39484586847811104,31.182484958409248,0.061164668512825135,0.5087587023811954,93.63
7,26.70999999999998,16.561918170011456,42.41271299816236,48.520649366740656,2362.607047734582,30.0,0.0,30.0,0.0,,0.0,45.65600298266429,,48.520649366740656,42.41271299816236,0.1679269392,0.1467090223839706,0.08717412946,0.07615949752420836,2615.2238838,2284.784925726251,0.16583380625880376,0.14488036112815592,0.10414922023411051,0.09098975039616039,123.41682597742096,107.82285421945005,45.65600298266429,0.054088745425823086,0.37654930235357786,48.520649366740656,0.06380189785442243,0.49035226142488936,319.4
8,28.399999999999977,16.561918170011456,57.975914644864815,69.60193463468175,4179.154825052182,320.07263527143886,0.0,320.07263527143886,0.0,80.0,4.3,64.26682987701696,0.5731766404043571,69.60193463468175,57.975914644864815,0.16666876800000002,0.14560982372279674,0.16436549822000004,0.14359757685329422,4930.964946600001,4307.927305598826,0.154878109928495,0.1353089397361363,0.18478307172168268,0.16143534762524384,218.96793999019397,191.30088693591395,64.26682987701696,0.05386365455548775,0.3778953457581832,69.60193463468175,0.06350739531593418,0.48071859964661035,606.77
